Reference,Bathrooms,Contrat,Energy_Class,Sale_Price,Property_Type,Year_Construction,Surface,Energy_Consumption,Elevator,Publish_date,Floor,Street,Heating,City,Country,Autonomous_Community,Bedrooms,Zone
591658,1 baño,venta,g,90000,Media,1970,84.00,"209,5 kW h/m&sup2; año",,2024-08-08 10:12:42,,Av. Virgen de Fátima,,Cordoba,es,Andalucía,3 dorm.,Fatima
599226,1 baño,venta,g,95000,Media,1973,94.00,"214,4 kW h/m&sup2; año",,2024-10-28 10:37:48,,Av. Virgen de Fátima,,Cordoba,es,Andalucía,3 dorm.,Fatima
599661,1 baño,venta,,79900,Media,1975,75.00,,,2024-10-30 10:43:45,,Cronista Maraver 26,,Cordoba,es,Andalucía,,Levante - Fidiana
592514,,venta,d,224900,Señorial,1986,105.00,"57,75 kWh/m&sup2; año",,2024-08-21 18:10:36,4 (planta media),Avenida de los Mozarabes,,Cordoba,es,Andalucía,3 dorm.,Ciudad Jardin - Machaquito
598358,,venta,,104900,Popular,1978,94.00,,,2024-10-17 18:12:25,1 (planta baja),C. Raimundo Lulio,,Cordoba,es,Andalucía,3 dorm.,Santa Rosa
598977,,venta,,149900,Popular,1998,69.00,,,2024-10-28 19:21:00,1 (planta baja),C. Pintor Arbasia,,Cordoba,es,Andalucía,3 dorm.,Santa Rosa
597787,,venta,,109900,Popular,1969,61.00,,,2024-10-11 19:50:29,Planta baja,C. Mariana Pineda,,Cordoba,es,Andalucía,3 dorm.,Santa Rosa
598967,,venta,,159900,Popular,1975,63.00,,,2024-10-25 17:03:44,3 (planta media),C. de la Prevision,,Cordoba,es,Andalucía,3 dorm.,Ciudad Jardin - Machaquito
599856,,venta,e,145000,Popular,1970,73.00,"44,76 kW h/m&sup2; año",,2024-10-31 21:08:49,Baja,Calle Olimpia,,Granada,es,Andalucía,3 dorm.,Chana - Cerillo - Maracena
573392,1 baño,venta,e,112000,Media,1974,100.00,"160,6 kW h/m&sup2; año",Sí,2024-10-31 19:50:04,,C. Ledaña,,Granada,es,Andalucía,3 dorm.,Chana - Cerillo - Maracena
588664,2 baños,venta,e,249900,Popular,2006,164.00,"213,8 kW h/m&sup2; año",,2024-10-31 19:49:30,,Av. de Maracena,centralizada (Gas),Granada,es,Andalucía,3 dorm.,Chana - Cerillo - Maracena
594201,1 baño,venta,e,155900,Popular,1969,79.00,"182,2 kW h/m&sup2; año",Sí,2024-10-31 19:49:13,,Calle Dr. Medina Olmos,,Granada,es,Andalucía,3 dorm.,Chana - Cerillo - Maracena
592863,1 baño,venta,g,112900,Popular,1966,63.00,"339,2 kW h/m&sup2; año",,2024-10-31 19:49:18,,C. Alianza,,Granada,es,Andalucía,3 dorm.,Chana - Cerillo - Maracena
580409,1 baño,venta,f,79900,Popular,1966,73.00,"199,39 kW h/m&sup2; año",,2024-10-31 19:49:50,,C. Virgen del Monte,,Granada,es,Andalucía,,Chana - Cerillo - Maracena
