"Year_Construction","Surface","Bathrooms","Property_Type","Bedrooms","Sale_Price","Autonomous_Community","Property"
1981,76,"1","Señorial","3",165000,"Andalucía","Piso"
1981,76,"1","Media","3",145000,"Andalucía","Piso"
1976,102,"2","Media","4",144990,"Andalucía","Piso"
2007,148,"2","Media","3",180000,"Andalucía","Piso"
1948,83,"1","Popular","3",186000,"Andalucía","Piso"
1993,104,"2","Media","3",310000,"Aragón","Piso"
1953,63,"1","Media","2",129000,"Aragón","Piso"
1970,73,"1","Popular","2",158000,"Aragón","Piso"
1961,61,"1","Popular","3",97500,"Aragón","Piso"
1942,47,"1","Popular","2",59000,"Aragón","Piso"
1981,153,"2","Media","4",299000,"Aragón","Piso"
1984,96,"2","Popular","4",259000,"Aragón","Piso"
1940,70,"1","Media","3",75000,"Aragón","Piso"
1967,79,"1","Popular","3",138000,"Aragón","Piso"
1983,103,"2","Media","4",289000,"Aragón","Piso"
1965,54,"1","Media","2",100000,"Aragón","Piso"
1970,58,"1","Popular","3",85000,"Aragón","Piso"
1964,95,"2","Popular","4",210000,"Aragón","Piso"
2004,134,"2","Popular","4",210000,"Canarias","Piso"
1961,109,"1","Media","3",234900,"Canarias","Piso"
1986,86,"2","Popular","3",275000,"Canarias","Piso"
1971,97,"2","Popular","3",288000,"Canarias","Piso"
1900,115,"1","Popular","3",205000,"Canarias","Piso"
1986,90,"1","Popular","3",86000,"Castilla Y León","Piso"
1965,70,"1","Popular","2",89900,"Castilla Y León","Piso"
1970,85,"1","Media","3",89900,"Castilla Y León","Piso"
1977,78,"1","Media","3",98000,"Castilla Y León","Piso"
1974,125,"2","Popular","4",199900,"Castilla Y León","Piso"
1981,165,"2","Señorial","4",279900,"Castilla Y León","Piso"
2004,102,"2","Popular","3",280000,"Castilla Y León","Piso"
1963,90,"1","Popular","3",109990,"Castilla Y León","Piso"
1976,90,"1","Media","3",86000,"Castilla Y León","Piso"
2006,80,"2","Popular","2",220000,"Castilla Y León","Piso"
1958,61,"1","Popular","2",77000,"Castilla Y León","Piso"
1977,112,"1","Popular","3",135000,"Castilla Y León","Piso"
1978,90,"1","Media","3",99000,"Castilla Y León","Piso"
2000,74,"1","Media","2",159900,"Castilla Y León","Piso"
1966,85,"2","Popular","2",229000,"Castilla Y León","Piso"
1960,58,"1","Media","2",86000,"Castilla-La Mancha","Piso"
2000,84,"1","Popular","2",129990,"Castilla-La Mancha","Piso"
1970,71,"1","Popular","2",155900,"Castilla-La Mancha","Piso"
1991,161,"2","Popular","3",269990,"Castilla-La Mancha","Piso"
2002,150,"2","Media","3",235900,"Castilla-La Mancha","Piso"
1991,119,"3","Media","3",214900,"Castilla-La Mancha","Piso"
1999,120,"2","Popular","3",304900,"Castilla-La Mancha","Piso"
1995,90,"2","Popular","2",139900,"Castilla-La Mancha","Piso"
1900,97,"1","Media","2",115000,"Castilla-La Mancha","Piso"
1960,56,"1","Popular","2",205000,"Cataluña","Piso"
1972,37,"1","Popular","3",130000,"Cataluña","Piso"
1972,41,"1","Popular","3",130000,"Cataluña","Piso"
1969,363,"1","Popular","2",235000,"Cataluña","Piso"
1969,70,"1","Popular","3",215000,"Cataluña","Piso"
1968,75,"2","Popular","3",169000,"Cataluña","Piso"
1999,112,"2","Popular","4",279000,"Cataluña","Piso"
1927,38,"3","Media","2",144000,"Cataluña","Piso"
1973,78,"1","Media","3",270000,"Cataluña","Piso"
